Title,url,Thumbnail URL,channel name,Description Text
Marvel Studios' Thor: Love and Thunder | Official Trailer,https://www.youtube.com/watch?v=Go8nTmfrQd8,https://i.ytimg.com/vi/Go8nTmfrQd8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_OkO8_aac9ZIRZUAP9DZB4Ri83g,Marvel Entertainment,"“Let me tell you the story of the space viking, Thor Odinson…” Watch the brand-new trailer for Marvel Studios’ Thor: Love and Thunder and witness it only in theaters July 8. ► Watch..."
Andor | Teaser Trailer | Disney+,https://www.youtube.com/watch?v=j5UX1Adanis,https://i.ytimg.com/vi/j5UX1Adanis/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA6DKLTxN3krSV3OLQk0-hChm_z3g,Star Wars,"The “Andor” series will explore a new perspective from the Star Wars galaxy, focusing on Cassian Andor’s journey to discover the difference he can make. The series brings forward the..."
Willow | Official Teaser Trailer | Disney+,https://www.youtube.com/watch?v=tbbveDpUZv4,https://i.ytimg.com/vi/tbbveDpUZv4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9XYDSqxGhjjkfauhat4YTWwXgkw,Lucasfilm,"This fall, a new adventure begins. ✨ Watch the teaser trailer for #Willow, an Original series streaming November 30, only on #DisneyPlus."
Baz Luhrmann's ELVIS | Official Trailer 2,https://www.youtube.com/watch?v=Gp2BNHwbwvI,https://i.ytimg.com/vi/Gp2BNHwbwvI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXuwmR7dQYyiCSevLNI96l523dqQ,Warner Bros. Pictures,“I’m gonna show you what the real Elvis is like tonight.” Don’t miss Austin Butler and Tom Hanks in THE film of the summer. See Baz Luhrmann’s #ElvisMovie only in theaters June 24....
THE GRAY MAN | Official Trailer | Netflix,https://www.youtube.com/watch?v=BmllggGO4pM,https://i.ytimg.com/vi/BmllggGO4pM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjE7aX5sb_W1NVBtQh7lFsKtM0qg,Netflix,Ryan Gosling is THE GRAY MAN and Chris Evans is his psychopathic adversary in the Netflix/AGBO spy thriller directed by Anthony and Joe Russo - available globally July 22 on Netflix. Also...
Avatar: The Way of Water | Official Teaser Trailer,https://www.youtube.com/watch?v=a8Gx8wiNbs8,,Avatar,"Set more than a decade after the events of the first film, “Avatar: The Way of Water” begins to tell the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows..."
House of the Dragon | Official Teaser Trailer | HBO Max,https://www.youtube.com/watch?v=Wg86eQkdudI,,HBO Max,"History does not remember blood. It remembers names. August 21. #HouseoftheDragon About HBO Max: HBO Max is WarnerMedia’s direct-to-consumer offering with 10,000 hours of curated premium..."
Mission: Impossible – Dead Reckoning Part One | Official Teaser Trailer (2023 Movie) - Tom Cruise,https://www.youtube.com/watch?v=2m1drlOZSDw,,Paramount Pictures,We all share the same fate. Watch the official teaser trailer for #MissionImpossible – Dead Reckoning Part One starring Tom Cruise. Coming to theatres 2023. Connect with #MissionImpossible...
SONIC THE HEDGEHOG 2 Extended Movie Clip - Knuckles Fights Sonic! (2022),https://www.youtube.com/watch?v=g9Y9Pi-7ZkQ,,Entertainment Access,"Watch the official extended preview from Sonic The Hedgehog 2, an animation movie starring Ben Schwartz, Colleen O'Shaughnessey and Idris Elba. Available on Digital and streaming on Paramount+..."
"Laal Singh Chaddha Official Trailer | Aamir, Kareena, Mona, Chaitanya | Advait | In Cinemas 11th Aug",https://www.youtube.com/watch?v=R6savS7m0Fg,,Viacom18 Studios,"Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh. Watch Laal's beautiful journey in cinemas worldwide on..."
